Ticker,Date,Open,High,Low,Close,Volume 
FSR,1998/05/25,950.00,1005.00,935.00,950.00,4060699
FSR,1998/05/26,916.00,940.00,916.00,916.00,3981788
FSR,1998/05/27,864.00,900.00,850.00,864.00,3883627
FSR,1998/05/28,920.00,920.00,880.00,920.00,9139878
FSR,1998/05/29,1005.00,1005.00,922.00,1005.00,3766094
FSR,1998/06/01,984.00,990.00,940.00,984.00,1214658
FSR,1998/06/02,1030.00,1060.00,950.00,1030.00,1594208
FSR,1998/06/03,1030.00,1140.00,1020.00,1030.00,1673896
FSR,1998/06/04,995.00,1030.00,976.00,995.00,1632153
FSR,1998/06/05,1025.00,1025.00,995.00,1025.00,4077092
FSR,1998/06/08,980.00,1030.00,980.00,980.00,1493900
FSR,1998/06/09,945.00,980.00,940.00,945.00,2510504
FSR,1998/06/10,910.00,940.00,900.00,910.00,5810117
FSR,1998/06/11,910.00,935.00,905.00,910.00,2977583
FSR,1998/06/12,888.00,910.00,875.00,888.00,4755523
FSR,1998/06/15,840.00,880.00,825.00,840.00,1460264
FSR,1998/06/17,925.00,930.00,870.00,925.00,3074407
FSR,1998/06/18,936.00,1000.00,910.00,936.00,1594332
FSR,1998/06/19,909.00,925.00,890.00,909.00,4613426
FSR,1998/06/22,875.00,909.00,850.00,875.00,3744144
FSR,1998/06/23,879.00,880.00,840.00,879.00,2776922
FSR,1998/06/24,965.00,980.00,879.00,965.00,2125380
FSR,1998/06/25,958.00,1030.00,930.00,958.00,3847319
FSR,1998/06/26,960.00,975.00,910.00,960.00,1116637
FSR,1998/06/29,910.00,950.00,880.00,910.00,6213284
FSR,1998/06/30,910.00,940.00,870.00,910.00,3045402
FSR,1998/07/01,895.00,900.00,850.00,895.00,3387107
FSR,1998/07/02,890.00,910.00,863.00,890.00,2661590
FSR,1998/07/03,920.00,930.00,890.00,920.00,1831359
FSR,1998/07/06,890.00,920.00,870.00,890.00,3767631
FSR,1998/07/07,935.00,940.00,900.00,935.00,3554616
FSR,1998/07/08,940.00,960.00,930.00,940.00,2205040
FSR,1998/07/09,940.00,945.00,930.00,940.00,1126300
FSR,1998/07/10,925.00,930.00,920.00,925.00,5020493
FSR,1998/07/13,898.00,930.00,890.00,898.00,1438136
FSR,1998/07/14,920.00,930.00,896.00,920.00,2129629
FSR,1998/07/15,990.00,990.00,940.00,990.00,2778460
FSR,1998/07/16,1005.00,1035.00,960.00,1005.00,2297727
FSR,1998/07/17,1035.00,1060.00,1000.00,1035.00,2672547
FSR,1998/07/20,1045.00,1045.00,1000.00,1045.00,2801436
FSR,1998/07/21,1035.00,1040.00,1015.00,1035.00,4064750
FSR,1998/07/22,995.00,1020.00,980.00,995.00,5441109
FSR,1998/07/23,970.00,1020.00,970.00,970.00,3106792
FSR,1998/07/24,940.00,950.00,925.00,940.00,1543208
FSR,1998/07/27,905.00,935.00,890.00,905.00,2438692
FSR,1998/07/28,885.00,930.00,885.00,885.00,2336628
FSR,1998/07/29,918.00,924.00,870.00,918.00,2279631
FSR,1998/07/30,950.00,954.00,924.00,950.00,2797039
FSR,1998/07/31,970.00,970.00,910.00,970.00,1946839
FSR,1998/08/03,955.00,974.00,915.00,955.00,2060552
FSR,1998/08/04,985.00,985.00,940.00,985.00,8968321
FSR,1998/08/05,935.00,985.00,918.00,935.00,9337863
FSR,1998/08/06,900.00,950.00,890.00,900.00,3785391
FSR,1998/08/07,896.00,905.00,870.00,896.00,3518791
FSR,1998/08/11,797.00,885.00,790.00,797.00,3851685
FSR,1998/08/12,830.00,835.00,764.00,830.00,5885435
FSR,1998/08/13,790.00,809.00,770.00,790.00,5360352
FSR,1998/08/14,800.00,820.00,790.00,800.00,6104422
FSR,1998/08/17,798.00,809.00,765.00,798.00,3608401
FSR,1998/08/18,797.00,819.00,785.00,797.00,2614122
FSR,1998/08/19,800.00,820.00,795.00,800.00,3714725
FSR,1998/08/20,790.00,800.00,775.00,790.00,2417121
FSR,1998/08/21,704.00,780.00,680.00,704.00,3654009
FSR,1998/08/24,685.00,705.00,617.00,685.00,4773966
FSR,1998/08/25,685.00,695.00,660.00,685.00,5007999
FSR,1998/08/26,625.00,660.00,545.00,625.00,7663355
FSR,1998/08/27,610.00,625.00,550.00,610.00,7179998
FSR,1998/08/28,600.00,615.00,525.00,600.00,8720869
FSR,1998/08/31,580.00,620.00,570.00,580.00,2640283
FSR,1998/09/01,540.00,565.00,530.00,540.00,6782210
FSR,1998/09/02,540.00,590.00,540.00,540.00,118736
FSR,1998/09/03,510.00,555.00,500.00,510.00,7886542
FSR,1998/09/04,485.00,520.00,480.00,485.00,3105839
FSR,1998/09/07,488.00,512.00,470.00,488.00,2293193
FSR,1998/09/08,470.00,495.00,460.00,470.00,3462146
FSR,1998/09/09,447.00,481.00,440.00,447.00,2906978
FSR,1998/09/10,400.00,447.00,400.00,400.00,6516535
FSR,1998/09/11,385.00,425.00,380.00,385.00,6238459
FSR,1998/09/14,434.00,435.00,400.00,434.00,7072055
FSR,1998/09/15,450.00,465.00,440.00,450.00,6582411
FSR,1998/09/16,495.00,514.00,460.00,495.00,8023179
FSR,1998/09/17,500.00,522.00,490.00,500.00,6054569
FSR,1998/09/18,525.00,540.00,490.00,525.00,3041991
FSR,1998/09/21,525.00,580.00,510.00,525.00,1894189
FSR,1998/09/22,559.00,565.00,545.00,559.00,2367852
FSR,1998/09/23,599.00,615.00,570.00,599.00,7764483
FSR,1998/09/25,565.00,600.00,550.00,565.00,6045734
FSR,1998/09/28,583.00,610.00,565.00,583.00,4454603
FSR,1998/09/29,545.00,600.00,544.00,545.00,5390567
FSR,1998/09/30,527.00,540.00,486.00,527.00,5221905
FSR,1998/10/01,508.00,520.00,495.00,508.00,4058602
FSR,1998/10/02,480.00,508.00,460.00,480.00,3348009
FSR,1998/10/05,512.00,530.00,495.00,512.00,4466432
FSR,1998/10/06,545.00,570.00,505.00,545.00,623647
FSR,1998/10/07,562.00,593.00,554.00,562.00,4661622
FSR,1998/10/08,514.00,560.00,513.00,514.00,5865768
FSR,1998/10/09,519.00,529.00,515.00,519.00,6184953
FSR,1998/10/12,525.00,550.00,525.00,525.00,4361289
FSR,1998/10/13,545.00,545.00,510.00,545.00,5939252
FSR,1998/10/14,586.00,595.00,531.00,586.00,6522957
FSR,1998/10/15,630.00,630.00,602.00,630.00,6565085
FSR,1998/10/16,711.00,730.00,685.00,711.00,7959381
FSR,1998/10/19,703.00,730.00,700.00,703.00,3406565
FSR,1998/10/20,720.00,730.00,702.00,720.00,6105017
FSR,1998/10/21,700.00,720.00,690.00,700.00,2236739
FSR,1998/10/22,680.00,705.00,680.00,680.00,2058740
