Ticker,Date,Open,High,Low,Close,Volume 
KIO,2006/11/20,11500.00,11800.00,10250.00,11000.00,248394
KIO,2006/11/21,11000.00,11000.00,10711.00,10820.00,411437
KIO,2006/11/22,10822.00,11350.00,10822.00,11299.00,523204
KIO,2006/11/23,11299.00,11550.00,11260.00,11525.00,566798
KIO,2006/11/24,11600.00,11600.00,11500.00,11555.00,420036
KIO,2006/11/27,11560.00,11850.00,11555.00,11850.00,679516
KIO,2006/11/28,11800.00,11946.00,11700.00,11800.00,553047
KIO,2006/11/29,11800.00,11999.00,11725.00,11834.00,721736
KIO,2006/11/30,11850.00,11850.00,11150.00,11451.00,227945
KIO,2006/12/01,11550.00,11550.00,11425.00,11450.00,412047
KIO,2006/12/04,11400.00,11450.00,11245.00,11380.00,738681
KIO,2006/12/05,11495.00,11495.00,11255.00,11320.00,476597
KIO,2006/12/06,11300.00,11301.00,11201.00,11290.00,610038
KIO,2006/12/07,11290.00,11290.00,11100.00,11140.00,409520
KIO,2006/12/08,11140.00,11152.00,10900.00,10950.00,308929
KIO,2006/12/11,10950.00,10950.00,10700.00,10805.00,356057
KIO,2006/12/12,10900.00,10950.00,10630.00,10650.00,449269
KIO,2006/12/13,10649.00,10899.00,10500.00,10650.00,82476
KIO,2006/12/14,10700.00,10800.00,10325.00,10800.00,118681
KIO,2006/12/15,10815.00,11000.00,10815.00,11000.00,790135
KIO,2006/12/18,11000.00,11020.00,10950.00,10980.00,270498
KIO,2006/12/19,10850.00,10900.00,10556.00,10810.00,98311
KIO,2006/12/20,10600.00,10980.00,10600.00,10925.00,126985
KIO,2006/12/21,10950.00,10950.00,10455.00,10455.00,1454764
KIO,2006/12/22,10924.00,10999.00,10800.00,10800.00,179212
KIO,2006/12/27,10900.00,11190.00,10900.00,11149.00,72142
KIO,2006/12/28,11000.00,11200.00,11000.00,11200.00,101673
KIO,2006/12/29,11100.00,11195.00,11100.00,11125.00,7438
KIO,2007/01/02,11499.00,11950.00,11250.00,11899.00,53609
KIO,2007/01/03,11520.00,11575.00,11250.00,11399.00,301213
KIO,2007/01/04,11470.00,11470.00,10950.00,11300.00,100368
KIO,2007/01/05,10950.00,11100.00,10950.00,11000.00,182171
KIO,2007/01/08,11000.00,11110.00,11000.00,11090.00,171326
KIO,2007/01/09,11100.00,11299.00,11050.00,11100.00,454598
KIO,2007/01/10,11050.00,11100.00,10950.00,11020.00,345845
KIO,2007/01/11,11100.00,11200.00,10900.00,10985.00,48847
KIO,2007/01/12,11010.00,11010.00,10525.00,10710.00,435232
KIO,2007/01/15,10750.00,11000.00,10750.00,10900.00,683104
KIO,2007/01/16,10950.00,11050.00,10940.00,10950.00,117027
KIO,2007/01/17,10999.00,11025.00,10900.00,10900.00,655517
KIO,2007/01/18,11000.00,11390.00,11000.00,11250.00,352368
KIO,2007/01/19,11235.00,11300.00,10980.00,11300.00,120486
KIO,2007/01/22,11400.00,11400.00,11195.00,11200.00,525758
KIO,2007/01/23,11199.00,11199.00,10800.00,10970.00,81061
KIO,2007/01/24,11000.00,11350.00,11000.00,11350.00,153479
KIO,2007/01/25,11450.00,11650.00,11345.00,11550.00,117012
