Ticker,Date,Open,High,Low,Close,Volume 
SAB,1985/03/27,315.00,317.00,315.00,315.00,65640
SAB,1985/03/28,320.00,320.00,315.00,320.00,126882
SAB,1985/03/29,325.00,325.00,322.00,325.00,71594
SAB,1985/04/01,327.00,327.00,327.00,327.00,7298
SAB,1985/04/02,330.00,330.00,330.00,330.00,41302
SAB,1985/04/03,335.00,335.00,332.00,335.00,36680
SAB,1985/04/04,335.00,335.00,335.00,335.00,43000
SAB,1985/04/09,335.00,335.00,335.00,335.00,20444
SAB,1985/04/10,340.00,340.00,337.00,340.00,75544
SAB,1985/04/11,345.00,347.00,340.00,345.00,26582
SAB,1985/04/12,355.00,355.00,352.00,355.00,72338
SAB,1985/04/15,365.00,365.00,365.00,365.00,4000
SAB,1985/04/16,360.00,375.00,360.00,360.00,49960
SAB,1985/04/17,370.00,370.00,365.00,370.00,59870
SAB,1985/04/18,370.00,370.00,367.00,370.00,36120
SAB,1985/04/19,372.00,372.00,372.00,372.00,31562
SAB,1985/04/22,377.00,377.00,372.00,377.00,10600
SAB,1985/04/23,377.00,377.00,375.00,377.00,154100
SAB,1985/04/24,375.00,377.00,375.00,375.00,19200
SAB,1985/04/25,377.00,377.00,375.00,377.00,41324
SAB,1985/04/26,377.00,377.00,377.00,377.00,13414
SAB,1985/04/29,377.00,377.00,377.00,377.00,21674
SAB,1985/04/30,377.00,380.00,377.00,377.00,37070
SAB,1985/05/01,370.00,375.00,370.00,370.00,86294
SAB,1985/05/02,370.00,370.00,370.00,370.00,33874
SAB,1985/05/03,370.00,370.00,370.00,370.00,35742
SAB,1985/05/06,370.00,372.00,370.00,370.00,12778
SAB,1985/05/07,365.00,370.00,365.00,365.00,48510
SAB,1985/05/08,365.00,365.00,365.00,365.00,53500
SAB,1985/05/09,382.00,382.00,377.00,382.00,130312
SAB,1985/05/10,385.00,385.00,385.00,385.00,32122
SAB,1985/05/13,392.00,397.00,392.00,392.00,15100
SAB,1985/05/14,405.00,405.00,400.00,405.00,86892
SAB,1985/05/15,402.00,405.00,400.00,402.00,65880
SAB,1985/05/17,397.00,402.00,395.00,397.00,65078
SAB,1985/05/20,402.00,402.00,400.00,402.00,22374
SAB,1985/05/21,412.00,412.00,405.00,412.00,82200
SAB,1985/05/22,415.00,415.00,415.00,415.00,26400
SAB,1985/05/23,412.00,417.00,412.00,412.00,109736
SAB,1985/05/24,410.00,412.00,410.00,410.00,61740
SAB,1985/05/27,410.00,410.00,410.00,410.00,14944
