Ticker,Date,Open,High,Low,Close,Volume 
SBK,2014/11/14,13840.00,13840.00,13531.00,13689.00,3379541
SBK,2014/11/17,13724.00,13882.00,13557.00,13757.00,1537175
SBK,2014/11/18,13757.00,13881.00,13622.00,13860.00,2258607
SBK,2014/11/19,13860.00,13938.00,13707.00,13790.00,2040541
SBK,2014/11/20,13810.00,13948.00,13608.00,13714.00,2663559
SBK,2014/11/21,13714.00,14039.00,13681.00,13996.00,2086584
SBK,2014/11/24,13990.00,14175.00,13819.00,13890.00,3282240
SBK,2014/11/25,13822.00,14089.00,13771.00,13878.00,2535073
SBK,2014/11/26,13878.00,13880.00,13617.00,13713.00,2827818
SBK,2014/11/27,13899.00,13950.00,13540.00,13810.00,2618380
SBK,2014/11/28,13810.00,13970.00,13600.00,13620.00,3451714
SBK,2014/12/01,13500.00,13553.00,13001.00,13350.00,3867320
SBK,2014/12/02,13500.00,13690.00,13254.00,13559.00,3165075
SBK,2014/12/03,13590.00,13874.00,13395.00,13850.00,3161012
SBK,2014/12/04,13900.00,14180.00,13702.00,13845.00,9832308
SBK,2014/12/05,13800.00,14080.00,13800.00,14060.00,6461472
SBK,2014/12/08,14060.00,14251.00,13866.00,14251.00,3532835
SBK,2014/12/09,14005.00,14102.00,13900.00,13950.00,4607384
SBK,2014/12/10,14106.00,14106.00,13871.00,13900.00,3907258
SBK,2014/12/11,13800.00,14149.00,13520.00,13670.00,6283938
SBK,2014/12/12,13550.00,13677.00,13420.00,13655.00,3417836
SBK,2014/12/15,13540.00,13790.00,13428.00,13570.00,3151260
SBK,2014/12/17,13352.00,13749.00,13323.00,13647.00,6817392
SBK,2014/12/18,13753.00,14500.00,13753.00,14402.00,16033875
SBK,2014/12/19,14500.00,14781.00,14086.00,14157.00,5649754
SBK,2014/12/22,14168.00,14339.00,14016.00,14091.00,1474728
SBK,2014/12/23,14139.00,14425.00,14027.00,14388.00,1595337
SBK,2014/12/24,14288.00,14387.00,14147.00,14200.00,249992
SBK,2014/12/29,14200.00,14504.00,13933.00,14441.00,1449740
SBK,2014/12/30,14367.00,14567.00,14231.00,14351.00,1477600
SBK,2014/12/31,14300.00,14392.00,14215.00,14348.00,379761
SBK,2015/01/02,14300.00,14476.00,14167.00,14226.00,1618581
SBK,2015/01/05,14161.00,14224.00,13526.00,13526.00,3182810
